herc_region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Northeast,2020-05-13,2105,11929,474200,Northeast,354,3559,0.0994661421747682,0.106645779357715,1.07218171958788,25,470,0.0531914893617021,0.0527203711514129,0.991142977646563
Northeast,2020-05-14,2122,12631,474200,Northeast,315,3326,0.0947083583884546,0.0948966680725432,1.00198831114057,17,702,0.0242165242165242,0.0358498523829608,1.48038802193167
Northeast,2020-05-15,2167,13155,474200,Northeast,285,3317,0.0859210129635213,0.0858588901608724,0.999276977767066,45,524,0.0858778625954199,0.0948966680725432,1.10501897933361
Northeast,2020-05-16,2209,14217,474200,Northeast,263,4047,0.0649864096861873,0.0792311863589805,1.21919624028439,42,1062,0.0395480225988701,0.0885702235343737,2.23956136651202
Northeast,2020-05-17,2237,15050,474200,Northeast,226,4703,0.048054433340421,0.0680845936012532,1.41682231728626,28,833,0.0336134453781513,0.0590468156895825,1.75664276676508
Northeast,2020-05-18,2244,15760,474200,Northeast,199,5114,0.0389127884239343,0.0599505934807495,1.54063987467615,7,710,0.00985915492957747,0.0147617039223956,1.49725854070013
Northeast,2020-05-19,2264,15985,474200,Northeast,184,4526,0.0406539991162174,0.0554317045249141,1.3634994276074,20,225,0.0888888888888889,0.0421762969211303,0.474483340362716
Northeast,2020-05-20,2287,16840,474200,Northeast,182,4911,0.0370596619833028,0.0548291859974694,1.47948424414051,23,855,0.0269005847953216,0.0485027414592999,1.80303669337832
Northeast,2020-05-21,2332,18013,474200,Northeast,210,5382,0.0390189520624303,0.0632644453816955,1.62137735735374,45,1173,0.0383631713554987,0.0948966680725432,2.47363981442429
Northeast,2020-05-22,2363,19133,474200,Northeast,196,5978,0.0327868852459016,0.0590468156895825,1.80092787853226,31,1120,0.0276785714285714,0.065373260227752,2.3618726275833
Northeast,2020-05-23,2403,19846,474200,Northeast,194,5629,0.0344643808847042,0.0584442971621377,1.69578839549316,40,713,0.0561009817671809,0.0843525938422607,1.5035849852383
Northeast,2020-05-24,2409,21000,474200,Northeast,172,5950,0.0289075630252101,0.0518165933602458,1.79249261914804,6,1154,0.00519930675909879,0.0126528890763391,2.43357233234922
Northeast,2020-05-25,2416,21538,474200,Northeast,172,5778,0.0297680858428522,0.0518165933602458,1.74067602578779,7,538,0.0130111524163569,0.0147617039223956,1.13454238717841
Northeast,2020-05-26,2419,21943,474200,Northeast,155,5958,0.0260154414232964,0.0466951858769657,1.79490269325782,3,405,0.00740740740740741,0.00632644453816955,0.854070012652889
Northeast,2020-05-27,2457,22867,474200,Northeast,170,6027,0.0282064045130247,0.0512140748328011,1.81568958245466,38,924,0.0411255411255411,0.0801349641501476,1.94854491775622
Northeast,2020-05-28,2477,24325,474200,Northeast,145,6312,0.0229721166032953,0.0436825932397421,1.90154847261553,20,1458,0.0137174211248285,0.0421762969211303,3.0746520455504
Northeast,2020-05-29,2485,25795,474200,Northeast,122,6662,0.0183128189732813,0.0367536301741279,2.00698921491836,8,1470,0.0054421768707483,0.0168705187684521,3.09995782370308
Northeast,2020-05-30,2497,26674,474200,Northeast,94,6828,0.0137668424135911,0.0283183707899018,2.05699825269627,12,879,0.0136518771331058,0.0253057781526782,1.85364824968368
Northeast,2020-05-31,2499,27178,474200,Northeast,90,6178,0.014567821301392,0.0271133337350123,1.86117973127674,2,504,0.00396825396825397,0.00421762969211303,1.06284268241248
Northeast,2020-06-01,2500,27275,474200,Northeast,84,5737,0.0146417988495729,0.0253057781526782,1.72832439597518,1,97,0.0103092783505155,0.00210881484605652,0.204555040067482
Northeast,2020-06-02,2515,28359,474200,Northeast,96,6416,0.0149625935162095,0.0289208893173465,1.93287943604266,15,1084,0.0138376383763838,0.0316322226908477,2.28595529312526
Northeast,2020-06-03,2535,29512,474200,Northeast,78,6645,0.0117381489841986,0.023498222570344,2.00186780743508,20,1153,0.0173460537727667,0.0421762969211303,2.43146351750316
Northeast,2020-06-04,2548,30866,474200,Northeast,71,6541,0.0108546093869439,0.0213894077242875,1.97053684400795,13,1354,0.00960118168389956,0.0274145929987347,2.85533530156052
Northeast,2020-06-05,2557,32358,474200,Northeast,72,6563,0.0109705927167454,0.0216906669880099,1.97716454780985,9,1492,0.00603217158176944,0.0189793336145086,3.14635175031632
Northeast,2020-06-06,2564,33511,474200,Northeast,67,6837,0.00979961971624982,0.0201843706693981,2.05970958606977,7,1153,0.00607111882046834,0.0147617039223956,2.43146351750316
Northeast,2020-06-07,2571,34900,474200,Northeast,72,7722,0.00932400932400932,0.0216906669880099,2.32632403446406,7,1389,0.00503959683225342,0.0147617039223956,2.9291438211725
Northeast,2020-06-08,2572,35605,474200,Northeast,72,8330,0.00864345738295318,0.0216906669880099,2.50948966680725,1,705,0.00141843971631206,0.00210881484605652,1.48671446646984
Northeast,2020-06-09,2596,37862,474200,Northeast,81,9503,0.00852362411869936,0.0244020003615111,2.86286678315358,24,2257,0.0106335844040762,0.0506115563053564,4.75959510754956
Northeast,2020-06-10,2602,38621,474200,Northeast,67,9109,0.00735536282797233,0.0201843706693981,2.74417063324697,6,759,0.00790513833992095,0.0126528890763391,1.6005904681569
Northeast,2020-06-11,2619,39677,474200,Northeast,71,8811,0.00805810918170469,0.0213894077242875,2.65439537265771,17,1056,0.0160984848484848,0.0358498523829608,2.22690847743568
Northeast,2020-06-12,2642,40620,474200,Northeast,85,8262,0.0102880658436214,0.0256070374164006,2.48900403687413,23,943,0.024390243902439,0.0485027414592999,1.98861239983129
Northeast,2020-06-13,2661,41775,474200,Northeast,97,8264,0.0117376573088093,0.0292221485810689,2.48960655540158,19,1155,0.0164502164502165,0.0400674820750738,2.43568114719528
Northeast,2020-06-14,2675,42507,474200,Northeast,104,7607,0.013671618246352,0.0313309634271254,2.29167921913599,14,732,0.0191256830601093,0.0295234078447912,1.54365246731337
Northeast,2020-06-15,2679,42803,474200,Northeast,107,7198,0.0148652403445401,0.0322347412182925,2.16846418027354,4,296,0.0135135135135135,0.00843525938422606,0.624209194432729
Northeast,2020-06-16,2705,43622,474200,Northeast,109,5760,0.0189236111111111,0.0328372597457372,1.73525335904079,26,819,0.0317460317460317,0.0548291859974694,1.72711935892029
Northeast,2020-06-17,2722,44445,474200,Northeast,120,5824,0.0206043956043956,0.0361511116466831,1.75453395191902,17,823,0.0206561360874848,0.0358498523829608,1.73555461830451
Northeast,2020-06-18,2743,45062,474200,Northeast,124,5385,0.0230269266480966,0.0373561487015726,1.62228113514491,21,617,0.0340356564019449,0.0442851117671868,1.30113876001687
Northwest,2020-03-15,1,NA,580045,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest,2020-03-16,1,NA,580045,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
